FGR_NR,ORT_NR,SEL_ZIEL,SEL_FZT,FRT_START,LI_NR,STR_LI_VAR,DEPARTURE,ARRIVAL
138,501500,500500,60,18540,1,"""14""",18540,18600
138,500500,500300,60,18540,1,"""14""",18600,18660
138,500300,500200,60,18540,1,"""14""",18660,18720
138,500200,502300,180,18540,1,"""14""",18720,18900
138,501500,500500,60,19740,1,"""14""",19740,19800
138,500500,500300,60,19740,1,"""14""",19800,19860
138,500300,500200,60,19740,1,"""14""",19860,19920
138,500200,502300,180,19740,1,"""14""",19920,20100
138,501500,500500,60,20100,1,"""14""",20100,20160
138,500500,500300,60,20100,1,"""14""",20160,20220
138,500300,500200,60,20100,1,"""14""",20220,20280
138,500200,502300,180,20100,1,"""14""",20280,20460
386,109012,101101,180,27000,71,"""1""",27000,27180
386,101101,32200,900,27000,71,"""1""",27180,28080
395,500102,109006,600,47100,73,"""3""",47100,47700
413,406402,405902,60,47100,54,"""3""",47700,47760
413,405902,109006,540,47100,54,"""3""",47760,48300
421,404700,403601,60,27180,54,"""5""",27180,27240
421,403601,408703,360,27180,54,"""5""",27240,27600
421,408703,404002,60,27180,54,"""5""",27600,27660
421,404002,405502,60,27180,54,"""5""",27660,27720
421,405502,409102,60,27180,54,"""5""",27720,27780
421,409102,408402,180,27180,54,"""5""",27780,27960
457,404400,408603,60,25860,3,"""5""",25860,25920
457,408603,407801,60,25860,3,"""5""",25920,25980
457,407801,400301,60,25860,3,"""5""",25980,26040
457,400301,401202,60,25860,3,"""5""",26040,26100
457,401202,400101,60,25860,3,"""5""",26100,26160
457,400101,407302,60,25860,3,"""5""",26160,26220
457,407302,408202,60,25860,3,"""5""",26220,26280
457,408202,403104,120,25860,3,"""5""",26280,26400
457,403104,112103,120,25860,3,"""5""",26400,26520
457,404400,408603,60,25920,3,"""5""",25920,25980
457,408603,407801,60,25920,3,"""5""",25980,26040
457,407801,400301,60,25920,3,"""5""",26040,26100
457,400301,401202,60,25920,3,"""5""",26100,26160
457,401202,400101,60,25920,3,"""5""",26160,26220
457,400101,407302,60,25920,3,"""5""",26220,26280
457,407302,408202,60,25920,3,"""5""",26280,26340
457,408202,403104,120,25920,3,"""5""",26340,26460
457,403104,112103,120,25920,3,"""5""",26460,26580
457,404400,408603,60,27120,3,"""5""",27120,27180
457,408603,407801,60,27120,3,"""5""",27180,27240
457,407801,400301,60,27120,3,"""5""",27240,27300
457,400301,401202,60,27120,3,"""5""",27300,27360
457,401202,400101,60,27120,3,"""5""",27360,27420
457,400101,407302,60,27120,3,"""5""",27420,27480
457,407302,408202,60,27120,3,"""5""",27480,27540
457,408202,403104,120,27120,3,"""5""",27540,27660
457,403104,112103,120,27120,3,"""5""",27660,27780
457,404400,408603,60,28320,3,"""5""",28320,28380
457,408603,407801,60,28320,3,"""5""",28380,28440
