service_id,date,exception_type
Special,20200203,1
Special,20200204,1
Special,20200205,1
Special,20200206,1
Special,20200207,1
Special,20200210,1
Special,20200211,1
Special,20200212,1
Special,20200213,1
Special,20200214,1
Special,20200217,1
Special,20200218,1
Special,20200219,1
Special,20200220,1
Special,20200221,1
Special,20200302,1
Special,20200303,1
Special,20200304,1
Special,20200305,1
Special,20200306,1
Special,20200309,1
Special,20200310,1
Special,20200311,1
Special,20200312,1
Special,20200313,1
Special,20200316,1
Special,20200317,1
Special,20200318,1
Special,20200319,1
Special,20200320,1
Special,20200323,1
Special,20200324,1
Special,20200325,1
Special,20200326,1
Special,20200327,1
Special,20200330,1
Special,20200331,1
Special,20200401,1
Special,20200402,1
Special,20200403,1
Special,20200427,1
Special,20200428,1
Special,20200429,1
Special,20200430,1
Special,20200504,1
Special,20200505,1
Special,20200506,1
Special,20200507,1
Special,20200508,1
Special,20200511,1
Special,20200512,1
Special,20200513,1
Special,20200514,1
Special,20200515,1
Special,20200518,1
Special,20200519,1
Special,20200520,1
Special,20200522,1
Special,20200525,1
Special,20200526,1
Special,20200527,1
Special,20200528,1
Special,20200529,1
Special,20200615,1
Special,20200616,1
Special,20200617,1
Special,20200618,1
Special,20200619,1
Special,20200622,1
Special,20200623,1
Special,20200624,1
Special,20200625,1
Special,20200626,1
Special,20200629,1
Special,20200630,1
Special,20200701,1
Special,20200702,1
Special,20200703,1
Special,20200706,1
Special,20200707,1
Special,20200708,1
Special,20200709,1
Special,20200710,1
Special,20200713,1
Special,20200714,1
Special,20200715,1
Special,20200716,1
Special,20200717,1
Special,20200720,1
Special,20200721,1
Special,20200722,1
Special,20200723,1
Special,20200724,1
Special#2,20200203,1
Special#2,20200204,1
Special#2,20200205,1
Special#2,20200206,1
Special#2,20200207,1
Special#2,20200210,1
Special#2,20200211,1
Special#2,20200212,1
Special#2,20200213,1
Special#2,20200214,1
Special#2,20200217,1
Special#2,20200218,1
Special#2,20200219,1
Special#2,20200220,1
Special#2,20200221,1
Special#2,20200224,1
Special#2,20200225,1
Special#2,20200226,1
Special#2,20200227,1
Special#2,20200228,1
Special#2,20200302,1
Special#2,20200303,1
Special#2,20200304,1
Special#2,20200305,1
Special#2,20200306,1
Special#2,20200309,1
Special#2,20200310,1
Special#2,20200311,1
Special#2,20200312,1
Special#2,20200313,1
Special#2,20200316,1
Special#2,20200317,1
Special#2,20200318,1
Special#2,20200319,1
Special#2,20200320,1
Special#2,20200323,1
Special#2,20200324,1
Special#2,20200325,1
Special#2,20200326,1
Special#2,20200327,1
Special#2,20200330,1
Special#2,20200331,1
Special#2,20200401,1
Special#2,20200402,1
Special#2,20200403,1
Special#2,20200406,1
Special#2,20200407,1
Special#2,20200408,1
Special#2,20200409,1
Special#2,20200414,1
Special#2,20200415,1
Special#2,20200416,1
Special#2,20200417,1
Special#2,20200420,1
Special#2,20200421,1
Special#2,20200422,1
Special#2,20200423,1
Special#2,20200424,1
Special#2,20200427,1
Special#2,20200428,1
Special#2,20200429,1
Special#2,20200430,1
Special#2,20200504,1
Special#2,20200505,1
Special#2,20200506,1
Special#2,20200507,1
Special#2,20200508,1
Special#2,20200511,1
Special#2,20200512,1
Special#2,20200513,1
Special#2,20200514,1
Special#2,20200515,1
Special#2,20200518,1
Special#2,20200519,1
Special#2,20200520,1
Special#2,20200522,1
Special#2,20200525,1
Special#2,20200526,1
Special#2,20200527,1
Special#2,20200528,1
Special#2,20200529,1
Special#2,20200602,1
Special#2,20200603,1
Special#2,20200604,1
Special#2,20200605,1
Special#2,20200608,1
Special#2,20200609,1
Special#2,20200610,1
Special#2,20200612,1
Special#2,20200615,1
Special#2,20200616,1
Special#2,20200617,1
Special#2,20200618,1
Special#2,20200619,1
Special#2,20200622,1
Special#2,20200623,1
Special#2,20200624,1
Special#2,20200625,1
Special#2,20200626,1
Special#2,20200629,1
Special#2,20200630,1
Special#2,20200701,1
Special#2,20200702,1
Special#2,20200703,1
Special#2,20200706,1
Special#2,20200707,1
Special#2,20200708,1
Special#2,20200709,1
Special#2,20200710,1
Special#2,20200713,1
Special#2,20200714,1
Special#2,20200715,1
Special#2,20200716,1
Special#2,20200717,1
Special#2,20200720,1
Special#2,20200721,1
Special#2,20200722,1
Special#2,20200723,1
Special#2,20200724,1
Special#2,20200727,1
Special#2,20200728,1
Special#2,20200729,1
Special#2,20200730,1
Special#2,20200731,1
Special#2,20200901,1
Special#2,20200902,1
Special#2,20200903,1
Special#2,20200904,1
Special#2,20200907,1
Special#3,20200207,1
Special#3,20200214,1
Special#3,20200221,1
Special#3,20200306,1
Special#3,20200313,1
Special#3,20200320,1
Special#3,20200327,1
Special#3,20200403,1
Special#3,20200508,1
Special#3,20200515,1
Special#3,20200522,1
Special#3,20200529,1
Special#3,20200619,1
Special#3,20200626,1
Special#3,20200703,1
Special#3,20200710,1
Special#3,20200717,1
Special#3,20200724,1
Special#4,20200203,1
Special#4,20200204,1
Special#4,20200205,1
Special#4,20200206,1
Special#4,20200210,1
Special#4,20200211,1
Special#4,20200212,1
Special#4,20200213,1
Special#4,20200217,1
Special#4,20200218,1
Special#4,20200219,1
Special#4,20200220,1
Special#4,20200302,1
Special#4,20200303,1
Special#4,20200304,1
Special#4,20200305,1
Special#4,20200309,1
Special#4,20200310,1
Special#4,20200311,1
Special#4,20200312,1
Special#4,20200316,1
Special#4,20200317,1
Special#4,20200318,1
Special#4,20200319,1
Special#4,20200323,1
Special#4,20200324,1
Special#4,20200325,1
Special#4,20200326,1
Special#4,20200330,1
Special#4,20200331,1
Special#4,20200401,1
Special#4,20200402,1
Special#4,20200427,1
Special#4,20200428,1
Special#4,20200429,1
Special#4,20200430,1
