route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id
gfn-12-101e-1,Special,gfn-12-101e-1-2-1-H-0-Special-1010001-1,,Neutraubling Gymnasium,,0,
gfn-12-101e-1,Special,gfn-12-101e-1-2-2-R-0-Special-1010008-2,,Seedorf,,1,
gfn-12-102e-1,Special,gfn-12-102e-1-3-12-R-0-Special-1-1,,Neutraubling Gymnasium,,1,
gfn-12-102e-1,Special,gfn-12-102e-1-3-9-R-1-Special-1020008-2,,Neutraubling Keplerstraße,,1,
gfn-12-102e-1,Special,gfn-12-102e-1-3-10-R-2-Special-1020010-3,,Leiterkofen Ort,,1,
gfn-12-102e-1,Special,gfn-12-102e-1-3-10-R-2-Special-1020014-4,,Leiterkofen Ort,,1,
gfn-12-102e-1,Special,gfn-12-102e-1-3-11-R-3-Special-1020013-5,,Leiterkofen Ort,,1,
gfn-12-102e-1,Special,gfn-12-102e-1-3-14-R-4-Special-1020017-6,,Neutraubling Realschule,,1,
gfn-12-102e-1,Special,gfn-12-102e-1-3-13-R-5-Special-1020020-7,,Neutraubling Gymnasium,,1,
gfn-12-102e-1,Special#2,gfn-12-102e-1-3-5-R-6-Special#2-1020030-8,,Neutraubling Pommernstraße,,1,
gfn-12-102e-1,Special,gfn-12-102e-1-3-2-H-0-Special-1020001-9,,Abzw. Rosenhof,,0,
gfn-12-102e-1,Special,gfn-12-102e-1-3-4-H-1-Special-1020004-10,,Wörth Schule,,0,
gfn-12-102e-1,Special,gfn-12-102e-1-3-16-H-2-Special-1020005-11,,Leiterkofen,,0,
gfn-12-102e-1,Special#3,gfn-12-102e-1-3-17-H-3-Special#3-1020007-12,,Wörth Reitfeld,,0,
gfn-12-102e-1,Special#4,gfn-12-102e-1-3-17-H-3-Special#4-1020006-13,,Wörth Reitfeld,,0,
gfn-12-102e-1,Special#2,gfn-12-102e-1-3-1-H-4-Special#2-1020011-14,,Wörth Schule,,0,
gfn-12-102e-1,Special,gfn-12-102e-1-3-15-H-5-Special-1020015-15,,Oberachdorf,,0,
gfn-12-102e-1,Special,gfn-12-102e-1-3-3-H-6-Special-1020016-16,,Wörth Regensburger Str.,,0,
gfn-12-103e-1,Special,gfn-12-103e-1-1-9-R-0-Special-1030011-1,,Schierling Rathaus,,1,
gfn-12-103e-1,Special,gfn-12-103e-1-1-14-R-2-Special-1030027-2,,Birnbach,,1,
gfn-12-103e-1,Special#5,gfn-12-103e-1-1-15-R-3-Special#5-1030029-3,,Birnbach,,1,
gfn-12-103e-1,Special#6,gfn-12-103e-1-1-13-R-1-Special#6-1030022-4,,Schierling Leierndorfer Str.,,1,
gfn-12-103e-1,Special,gfn-12-103e-1-1-2-H-0-Special-1030002-5,,Mallersdorf Marienbrunnen,,0,
gfn-12-103e-1,Special,gfn-12-103e-1-1-3-H-1-Special-1030003-6,,Pfaffenberg Gymnasium,,0,
gfn-12-103e-1,Special,gfn-12-103e-1-1-5-H-2-Special-1030006-7,,Mallersdorf Förderschule,,0,
gfn-12-103e-1,Special#5,gfn-12-103e-1-1-4-H-3-Special#5-1030008-8,,Mallersdorf Marienbrunnen,,0,
gfn-12-103e-1,Special,gfn-12-103e-1-1-6-H-4-Special-1030019-9,,Pfaffenberg Gymnasium,,0,
gfn-12-103e-1,Special,gfn-12-103e-1-1-7-H-5-Special-1030023-10,,Pfaffenberg Gymnasium,,0,
gfn-12-103e-1,Special,gfn-12-103e-1-1-1-H-6-Special-1030025-11,,Schierling Stifterstraße,,0,
gfn-12-103e-1,Special#5,gfn-12-103e-1-1-1-H-6-Special#5-1030026-12,,Schierling Stifterstraße,,0,
gfn-12-104e-1,Special#3,gfn-12-104e-1-4-4-R-0-Special#3-1-1,,Upfkofen,,1,
gfn-12-104e-1,Special#3,gfn-12-104e-1-4-6-R-1-Special#3-2-2,,Buchhausen Kirche,,1,
gfn-12-104e-1,Special,gfn-12-104e-1-4-7-R-2-Special-1040006-3,,Schierling Stifterstraße,,1,
gfn-12-104e-1,Special#5,gfn-12-104e-1-4-5-R-3-Special#5-1040017-4,,Walkenstetten,,1,
gfn-12-104e-1,Special#5,gfn-12-104e-1-4-5-R-3-Special#5-1040016-5,,Walkenstetten,,1,
gfn-12-104e-1,Special,gfn-12-104e-1-4-1-H-0-Special-1040001-6,,Oberroning Kloster,,0,
gfn-12-104e-1,Special,gfn-12-104e-1-4-3-H-1-Special-1040002-7,,Oberroning Kloster,,0,
gfn-12-104e-1,Special#7,gfn-12-104e-1-4-2-H-2-Special#7-1040004-8,,Oberroning Kloster,,0,
gfn-12-104e-1,Special#5,gfn-12-104e-1-4-2-H-2-Special#5-1040005-9,,Oberroning Kloster,,0,
gfn-12-105e-1,Special#8,gfn-12-105e-1-1-1-H-0-Special#8-1-1,,Unterheising Industriegebiet,,0,
gfn-12-105e-1,Special#8,gfn-12-105e-1-1-2-H-1-Special#8-2-2,,Barbing Am Sarchinger Feld Nord,,0,
gfn-12-105e-1,Special,gfn-12-105e-1-1-3-H-2-Special-3-3,,Barbing Am Sarchinger Feld Nord,,0,
